,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'cs'}),frozenset({'16...20'}),0.22040302267002518,0.5188916876574308,0.22040302267002518,1.0,1.9271844660194173,0.10603772627197684,inf
1,frozenset({'21...25'}),frozenset({'junior'}),0.2518891687657431,0.6032745591939547,0.2518891687657431,1.0,1.6576200417536535,0.09993084151285778,inf
20,"frozenset({'engineering', '21...25'})","frozenset({'3.2_3.6', 'junior'})",0.21032745591939547,0.4080604534005038,0.21032745591939547,1.0,2.450617283950617,0.12450113889435248,inf
19,"frozenset({'engineering', '3.2_3.6'})","frozenset({'21...25', 'junior'})",0.21032745591939547,0.2518891687657431,0.21032745591939547,1.0,3.9699999999999998,0.15734824787924548,inf
18,"frozenset({'engineering', 'junior'})","frozenset({'3.2_3.6', '21...25'})",0.21032745591939547,0.21032745591939547,0.21032745591939547,1.0,4.754491017964072,0.16608981720587024,inf
17,"frozenset({'engineering', '3.2_3.6', '21...25'})",frozenset({'junior'}),0.21032745591939547,0.6032745591939547,0.21032745591939547,1.0,1.6576200417536535,0.08344225266323624,inf
16,"frozenset({'21...25', '3.2_3.6', 'junior'})",frozenset({'engineering'}),0.21032745591939547,0.30856423173803527,0.21032745591939547,1.0,3.240816326530612,0.1454279260702117,inf
15,"frozenset({'21...25', 'engineering', 'junior'})",frozenset({'3.2_3.6'}),0.21032745591939547,0.6007556675062973,0.21032745591939547,1.0,1.6645702306079664,0.08397204474363773,inf
14,"frozenset({'engineering', '3.2_3.6', 'junior'})",frozenset({'21...25'}),0.21032745591939547,0.2518891687657431,0.21032745591939547,1.0,3.9699999999999998,0.15734824787924548,inf
13,"frozenset({'engineering', 'junior'})",frozenset({'3.2_3.6'}),0.21032745591939547,0.6007556675062973,0.21032745591939547,1.0,1.6645702306079664,0.08397204474363773,inf
12,"frozenset({'engineering', '3.2_3.6'})",frozenset({'junior'}),0.21032745591939547,0.6032745591939547,0.21032745591939547,1.0,1.6576200417536535,0.08344225266323624,inf
11,"frozenset({'engineering', '21...25'})",frozenset({'junior'}),0.21032745591939547,0.6032745591939547,0.21032745591939547,1.0,1.6576200417536535,0.08344225266323624,inf
10,"frozenset({'engineering', 'junior'})",frozenset({'21...25'}),0.21032745591939547,0.2518891687657431,0.21032745591939547,1.0,3.9699999999999998,0.15734824787924548,inf
9,"frozenset({'3.2_3.6', '21...25'})",frozenset({'junior'}),0.21032745591939547,0.6032745591939547,0.21032745591939547,1.0,1.6576200417536535,0.08344225266323624,inf
8,"frozenset({'3.2_3.6', '21...25'})",frozenset({'engineering'}),0.21032745591939547,0.30856423173803527,0.21032745591939547,1.0,3.240816326530612,0.1454279260702117,inf
7,"frozenset({'engineering', '21...25'})",frozenset({'3.2_3.6'}),0.21032745591939547,0.6007556675062973,0.21032745591939547,1.0,1.6645702306079664,0.08397204474363773,inf
6,"frozenset({'engineering', '3.2_3.6'})",frozenset({'21...25'}),0.21032745591939547,0.2518891687657431,0.21032745591939547,1.0,3.9699999999999998,0.15734824787924548,inf
5,frozenset({'cs'}),"frozenset({'16...20', '3.2_3.6'})",0.22040302267002518,0.336272040302267,0.22040302267002518,1.0,2.9737827715355807,0.146287648547989,inf
4,"frozenset({'cs', '3.2_3.6'})",frozenset({'16...20'}),0.22040302267002518,0.5188916876574308,0.22040302267002518,1.0,1.9271844660194173,0.10603772627197684,inf
3,"frozenset({'cs', '16...20'})",frozenset({'3.2_3.6'}),0.22040302267002518,0.6007556675062973,0.22040302267002518,1.0,1.6645702306079664,0.08799465766548864,inf
2,frozenset({'cs'}),frozenset({'3.2_3.6'}),0.22040302267002518,0.6007556675062973,0.22040302267002518,1.0,1.6645702306079664,0.08799465766548864,inf
21,"frozenset({'3.2_3.6', '21...25'})","frozenset({'engineering', 'junior'})",0.21032745591939547,0.21032745591939547,0.21032745591939547,1.0,4.754491017964072,0.16608981720587024,inf
